source,target,tgt_lng
1个霸符，2个霸符,"Una Mejora, Dos Mejoras",es-AR
2のトリック,Doblete,es-AR
3 Threes,3 Tres,es-AR
3×3,3 Tres,es-AR
3の軍団,Legión de Tres,es-AR
8级D干的传说,Rerroleo Épico,es-AR
90 Caliber Nets,Redes Calibre 90,es-AR
90口径绳网,Redes Calibre 90,es-AR
A Magic Roll,Tirada Mágica,es-AR
Aatrox,Aatrox,es-AR
Acceleration Gate,Portal de Aceleración,es-AR
Adaptive Helm,Yelmo Adaptable,es-AR
Advanced Loan,Préstamo Anticipado,es-AR
Aegis of Dawn,Égida del Amanecer,es-AR
Aegis of Dusk,Égida del Ocaso,es-AR
Ahri,Ahri,es-AR
Air Axiom,Axioma del Aire,es-AR
Ambessa,Ambessa,es-AR
Anivia,Anivia,es-AR
Annie,Annie,es-AR
Aphelios,Aphelios,es-AR
Arcane Viktor-y,Viktoria Arcana,es-AR
Arcane ビクタリー,Viktoria Arcana,es-AR
Arcanist,Arcanista,es-AR
Arcanist Emblem,Emblema de Arcanista,es-AR
Archangel's Staff,Báculo del Arcángel,es-AR
Armor Nullifier,Aniquilador de Armadura,es-AR
Artillery Barrage,Torrente de Artillería,es-AR
Ascendant,Ascendente,es-AR
Ascension,Ascenso,es-AR
Ashe,Ashe,es-AR
Assimilator,Asimilador,es-AR
Aurelion Sol,Aurelion Sol,es-AR
Azir,Azir,es-AR
B.F. Sword,Espadón,es-AR
B.F.ソード,Espadón,es-AR
Band of Thieves,Banda de Ladrones,es-AR
Bard,Bardo,es-AR
Barknuckles,Nudillos de Percebe,es-AR
Baron Nashor,Barón Nashor,es-AR
Bel'Veth,Bel'Veth,es-AR
Belt Overflow,Cinturón XL,es-AR
Best Friends,Mejores Amigos,es-AR
Big Friend,Gran Amigo,es-AR
Big Grab Bag,Bolsa de Sorpresas grande,es-AR
Bilgewater,Aguasturbias,es-AR
Bilgewater Emblem,Emblema de Aguasturbias,es-AR
Bilgewater Lesser Champion Duplicator,Duplicador de Campeón menor de Aguasturbias,es-AR
Binary Airdrop,Lanzamiento Aéreo Binario,es-AR
