source,target,tgt_lng
1个霸符，2个霸符,"Una Mejora, Dos Mejoras",es-MX
2のトリック,Doblete,es-MX
3 Threes,3 Tres,es-MX
3×3,3 Tres,es-MX
3の軍団,Legión de Tres,es-MX
8级D干的传说,Rerroleo Épico,es-MX
90 Caliber Nets,Redes Calibre 90,es-MX
90口径绳网,Redes Calibre 90,es-MX
A Magic Roll,Tirada Mágica,es-MX
Aatrox,Aatrox,es-MX
Acceleration Gate,Portal de Aceleración,es-MX
Adaptive Helm,Yelmo Adaptable,es-MX
Advanced Loan,Préstamo Anticipado,es-MX
Aegis of Dawn,Égida del Amanecer,es-MX
Aegis of Dusk,Égida del Ocaso,es-MX
Ahri,Ahri,es-MX
Air Axiom,Axioma del Aire,es-MX
Ambessa,Ambessa,es-MX
Anivia,Anivia,es-MX
Annie,Annie,es-MX
Aphelios,Aphelios,es-MX
Arcane Viktor-y,Viktoria Arcana,es-MX
Arcane ビクタリー,Viktoria Arcana,es-MX
Arcanist,Arcanista,es-MX
Arcanist Emblem,Emblema de Arcanista,es-MX
Archangel's Staff,Báculo del Arcángel,es-MX
Armor Nullifier,Aniquilador de Armadura,es-MX
Artillery Barrage,Torrente de Artillería,es-MX
Ascendant,Ascendente,es-MX
Ascension,Ascenso,es-MX
Ashe,Ashe,es-MX
Assimilator,Asimilador,es-MX
Aurelion Sol,Aurelion Sol,es-MX
Azir,Azir,es-MX
B.F. Sword,Espadón,es-MX
B.F.ソード,Espadón,es-MX
Band of Thieves,Banda de Ladrones,es-MX
Bard,Bardo,es-MX
Barknuckles,Nudillos de Percebe,es-MX
Baron Nashor,Barón Nashor,es-MX
Bel'Veth,Bel'Veth,es-MX
Belt Overflow,Cinturón XL,es-MX
Best Friends,Mejores Amigos,es-MX
Big Friend,Gran Amigo,es-MX
Big Grab Bag,Bolsa de Sorpresas grande,es-MX
Bilgewater,Aguasturbias,es-MX
Bilgewater Emblem,Emblema de Aguasturbias,es-MX
Bilgewater Lesser Champion Duplicator,Duplicador de Campeón menor de Aguasturbias,es-MX
Binary Airdrop,Lanzamiento Aéreo Binario,es-MX
Birthday Present,Regalo de cumpleaños,es-MX
Birthday Reunion,Reunión de Cumpleaños,es-MX
Black Market Restock,Reabastecimiento del Mercado Negro,es-MX
Blackmarket Explosives,Explosivos del Mercado Negro,es-MX
Blacksmith,Herrero,es-MX
Blast Shield,Escudo Explosivo,es-MX
Blighting Jewel,Joya Maldita,es-MX
Blitzcrank,Blitzcrank,es-MX
Blood Offering,Ofrenda de Sangre,es-MX
Bloodthirster,La Sanguinaria,es-MX
Blue Buff,Mejora azul,es-MX
Bodyguard Training,Entrenamiento de Guardaespaldas,es-MX
Boxing Lessons,Lecciones de Boxeo,es-MX
Bramble Vest,Vesta Espinosa,es-MX
Branching Out,Ramificación,es-MX
Braum,Braum,es-MX
Briar,Briar,es-MX
Brigand's Dice,Dado del Forajido,es-MX
Bringer of Ruin,Heraldo de la Ruina,es-MX
Brock,Brock,es-MX
Bronze For Life,Bronce de por Vida,es-MX
Bruiser,Matón,es-MX
Bruiser Emblem,Emblema de Matones,es-MX
Buried Treasures,Tesoros Enterrados,es-MX
Caitlyn,Caitlyn,es-MX
Cappa Juice,Juguito de Gorrito,es-MX
Captain's Brew,Brebaje del Capitán,es-MX
Captain's Hat,Sombrero del Capitán,es-MX
Care Package,Paquete de Cuidados,es-MX
Caretaker,Cuidador,es-MX
Caretaker's Ally,Alianza del Guardián,es-MX
Celestial Blessing,Bendición Celestial,es-MX
Chain Vest,Cota de Malla,es-MX
Chainbreaker,Rompecadenas,es-MX
Chalice of Power,Cáliz de Poder,es-MX
Chaotic Evolution,Evolución Caótica,es-MX
Cho'Gath,Cho'Gath,es-MX
Chosen Wolves,Lobos Elegidos,es-MX
Chronokeeper,Guard. del Tiempo,es-MX
Commerce Core,Núcleo Comercial,es-MX
Component Buffet,Buffet de componentes,es-MX
Construct a Companion,Construye tu Compi,es-MX
Continuum Cogs,Engranaje Continuo,es-MX
Cooking Pot,Cacerola,es-MX
Coronation,Coronación,es-MX
Corrosion,Corrosión,es-MX
Corrupt Vampiric Scepter,Cetro Vampírico Corrupto,es-MX
Cosmic Calling,Llamado Cósmico,es-MX
Crafted Crafting,Artesanía Creativa,es-MX
Crash Test Dummies,Muñecos de Prueba para Choques,es-MX
Crown's Will,Voluntad de la Corona,es-MX
Crownguard,Guardia de la Corona,es-MX
Cry Me A River,Llora Todo lo que Quieras,es-MX
Cursed Blade,Cuchilla Maldita,es-MX
Cutthroat's Cutlass,Sable Despiadado,es-MX
C位的觉悟,Halla tu Centro,es-MX
DD街区,Sector de Intercambio,es-MX
Darius,Darius,es-MX
