source,target,tgt_lng
1个霸符，2个霸符,"Jeden buff, dva buffy",cs
2のトリック,Dvojitý trik,cs
3 Threes,Tři trojky,cs
3×3,Tři trojky,cs
3の軍団,Legie tří,cs
8级D干的传说,Epický výlov,cs
90 Caliber Nets,Těžké sítě,cs
90口径绳网,Těžké sítě,cs
A Magic Roll,Kouzelný hod,cs
Aatrox,Aatrox,cs
Acceleration Gate,Urychlovací brána,cs
Adaptive Helm,Přizpůsobivá přilba,cs
Advanced Loan,Pokročilá půjčka,cs
Aegis of Dawn,Štít úsvitu,cs
Aegis of Dusk,Štít soumraku,cs
Ahri,Ahri,cs
Air Axiom,Axiom vzduchu,cs
Ambessa,Ambessa,cs
Anivia,Anivia,cs
Annie,Annie,cs
Aphelios,Aphelios,cs
Arcane Viktor-y,Viktorův triumf,cs
Arcane ビクタリー,Viktorův triumf,cs
Arcanist,Znalec arkán,cs
Arcanist Emblem,Emblém Znalce arkán,cs
Archangel's Staff,Archandělova hůl,cs
Armor Nullifier,Ničitel zbroje,cs
Artillery Barrage,Dělostřelecká salva,cs
Ascendant,Povznesený,cs
Ascension,Vzestup,cs
Ashe,Ashe,cs
Assimilator,Asimilátor,cs
Aurelion Sol,Aurelion Sol,cs
Azir,Azir,cs
B.F. Sword,K. V. meč,cs
B.F.ソード,K. V. meč,cs
Band of Thieves,Tlupa zlodějů,cs
Bard,Bard,cs
Barknuckles,Pancéřoví vilejši,cs
Baron Nashor,Baron Nashor,cs
Bel'Veth,Bel'Veth,cs
Belt Overflow,Pevné opasky,cs
Best Friends,Nejlepší přátelé,cs
Big Friend,Velký kámoš,cs
Big Grab Bag,Velká dárková taška,cs
Bilgewater,Bilgewater,cs
Bilgewater Emblem,Emblém Bilgewateru,cs
Bilgewater Lesser Champion Duplicator,Bilgewaterský Menší duplikátor šampionů,cs
Binary Airdrop,Binární zásobování,cs
Birthday Present,Dárek k narozeninám,cs
Birthday Reunion,Narozeninové setkání,cs
Black Market Restock,Nová nabídka na černém trhu,cs
Blackmarket Explosives,Výbušniny z černého trhu,cs
Blacksmith,Kovář,cs
Blast Shield,Ochranný štít,cs
Blighting Jewel,Klenot nákazy,cs
Blitzcrank,Blitzcrank,cs
Blood Offering,Krvavá oběť,cs
Bloodthirster,Krvežíznivec,cs
Blue Buff,Modrý buff,cs
Bodyguard Training,Výcvik tělesného strážce,cs
Boxing Lessons,Lekce v boxu,cs
Bramble Vest,Ostnatá vesta,cs
Branching Out,Rozvětvení,cs
Braum,Braum,cs
Briar,Briar,cs
Brigand's Dice,Lupičovy kostky,cs
Bringer of Ruin,Nositel zkázy,cs
Brock,Brock,cs
Bronze For Life,Bronz nad zlato,cs
Bruiser,Ranař,cs
Bruiser Emblem,Emblém Ranaře,cs
Buried Treasures,Zakopané poklady,cs
Caitlyn,Caitlyn,cs
Cappa Juice,Šťáva Cappa,cs
Captain's Brew,Kapitánský lektvar,cs
Captain's Hat,Kapitánský klobouk,cs
Care Package,Dárkový balíček,cs
Caretaker,Opatrovník,cs
Caretaker's Ally,Opatrovníkův spojenec,cs
Celestial Blessing,Požehnání nebes,cs
Chain Vest,Kroužková vesta,cs
Chainbreaker,Lamač okovů,cs
Chalice of Power,Pohár moci,cs
Chaotic Evolution,Chaotická evoluce,cs
Cho'Gath,Cho'Gath,cs
Chosen Wolves,Vyvolení vlci,cs
Chronokeeper,Strážce času,cs
Commerce Core,Jádro obchodu,cs
Component Buffet,Výstavka předmětů,cs
Construct a Companion,Stavebnice společníků,cs
Continuum Cogs,Kolečka kontinua,cs
Cooking Pot,Společná kuchyně,cs
Coronation,Korunovace,cs
Corrosion,Koroze,cs
Corrupt Vampiric Scepter,Zrádné upírské žezlo,cs
Cosmic Calling,Kosmické volání,cs
Crafted Crafting,Zručná výroba,cs
Crash Test Dummies,Sebevražední panáci,cs
Crown's Will,Vůle koruny,cs
Crownguard,Korunní stráž,cs
Cry Me A River,Potok slz,cs
Cursed Blade,Prokleté ostří,cs
Cutthroat's Cutlass,Hrdlořezova šavle,cs
C位的觉悟,Najdi své těžiště,cs
DD街区,Obchodní sektor,cs
Darius,Darius,cs
Dark Child,Temné dítě,cs
Darkin,Darkin,cs
Darkwill's Invasion,Darkwillova invaze,cs
Dawncore,Jádro úsvitu,cs
Dead Man's Dagger,Dýka mrtvého muže,cs
Deadlier Blades,Vražednější čepele,cs
Deadlier Caps,Vražednější klobouky,cs
Deathblade,Čepel smrti,cs
Defender,Obránce,cs
Defender Emblem,Emblém Obránce,cs
Defense of the Placidium,Obrana Placidia,cs
Demacia,Demacie,cs
Demacia Emblem,Emblém Demacie,cs
Demacia Forever,Demacie je věčná,cs
Diana,Diana,cs
Disruptor,Narušitel,cs
Disruptor Emblem,Emblém Narušitele,cs
Double Trouble,Dvojitý malér,cs
Dr. Mundo,Dr. Mundo,cs
Dragon's Claw,Dračí spár,cs
Dragonborn,Drakorozená,cs
Dragonguards,Dračí strážci,cs
Draven,Draven,cs
Dreadway Cannon,Děsivcovo dělo,cs
Dummify,"Marioneta, to jsem já",cs
Duo Queue,Tandemová fronta,cs
